ORG_NAME,ADDR_LINE_1,ADDR_CITY,ADDR_POSTAL_CODE,APP_TYPE,CIRCLE,Provisional
Neil Elem School,8555 S Michigan Ave,Chicago,60619-5687,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Newberry Elem Math & Science Acad,700 W Willow St,Chicago,60614-5167,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Joplin Elem School,7931 S Honore St,Chicago,60620-4560,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Nobel Elem School,4127 W Hirsch St,Chicago,60651-1806,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Norwood Park Elem School,5900 N Nina Ave,Chicago,60631-2483,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ogden Elem School,24 W Walton St,Chicago,60610-1296,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Beasley Elementary Magnet Academic Ctr,5255 S State St,Chicago,60609-6387,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Sayre Elem Language Academy,1850 N Newland Ave,Chicago,60707-3305,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Shoop Math-Sci Tech Elem Academy,11140 S Bishop St,Chicago,60643-3607,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Mays Elementary Acadamy,6656 S Normal Blvd,Chicago,60621-2558,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Solomon Elem School,6206 N Hamlin Ave,Chicago,60659-1099,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Spry Elem Community School,2400 S Marshall Blvd,Chicago,60623-4192,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Sullivan Elem School,8331 S Mackinaw Ave,Chicago,60617-2626,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Sumner Elem Math & Sci Comm Acad,4320 W 5th Ave,Chicago,60624-3401,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Swift Elem Specialty School,5900 N Winthrop Ave,Chicago,60660-9808,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Taylor Elem School,9912 S Avenue H,Chicago,60617-5597,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Randolph Elementary School,7316 S Hoyne Ave,Chicago,60636-3797,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Twain Elem School,5134 S Lotus Ave,Chicago,60638-1630,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Wacker Elem School,9746 S Morgan St,Chicago,60643-1541,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Woodson South Elem School,4414 S Evans Ave,Chicago,60653-3598,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Daley Elementary Academy,5024 S Wolcott Ave,Chicago,60609-4856,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Pritzker Elem School,2009 W Schiller St,Chicago,60622-1998,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Orozco Elementary Fine Arts & Sciences,1940 W 18th St,Chicago,60608-1903,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Waters Elem School,4540 N Campbell Ave,Chicago,60625-3006,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Wadsworth Elem School,6650 S Ellis Ave,Chicago,60637-4298,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Lenart Elementary Regional Gifted Ctr,8101 S La Salle St,Chicago,60620-1223,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Dirksen Elem School,8601 W Foster Ave,Chicago,60656-2721,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Cuffe Math-Sci Tech Elem Academy,8324 S Racine Ave,Chicago,60620-3118,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Casals Elementary School,3501 W Potomac Ave,Chicago,60651-2231,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Foster Park Elem School,8530 S Wood St,Chicago,60620,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ruiz Elementary School,2410 S Leavitt St,Chicago,60608-4034,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Hughes L Elem School,240 W 104th St,Chicago,60628-2597,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Grissom Elem School,12810 S Escanaba Ave,Chicago,60633-1298,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ariel Elem Community School,1119 E 46th St,Chicago,60653-4491,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Smith W Elem School,744 E 103rd St,Chicago,60628-1694,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ortiz De Dominguez Elementary School,3000 S Lawndale Ave,Chicago,60623-4539,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Till Elem Math & Science Academy,6543 S Champlain Ave,Chicago,60637-3441,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Telpochcalli Elementary School,2832 W 24th Blvd,Chicago,60623-3524,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Langford A Elem School,6010 S Throop St,Chicago,60636-1899,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Clark G R Elem School,1045 S Monitor Ave,Chicago,60644-5434,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Woodlawn Elem Comm School,6657 S Kimbark Ave,Chicago,60637-4481,Preschool for All/Prevention Initiative,Gold Circle of Quality,
McNair Elem School,4820 W Walton St,Chicago,60651-3209,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Fairfield Elem Acadamy,6201 S Fairfield Ave,Chicago,60629-2309,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Chicago Academy Elem School,3400 N Austin Ave,Chicago,60634-4241,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ashburn Comm Elem School,8300 S Saint Louis Ave,Chicago,60652-3224,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Belmont-Cragin Elem School,5252 W Palmer St,Chicago,60639-3047,Preschool for All/Prevention Initiative,Gold Circle of Quality,
National Teachers Elem Acadamy,55 W Cermak Rd,Chicago,60616-2001,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Talman Elem School,5450 S Talman Ave,Chicago,60632-1598,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Doolittle Elementary School,535 E 35th St,Chicago,60616-4198,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Edison Park Elem School,6220 N Olcott Ave,Chicago,60631-1815,Preschool for All/Prevention Initiative,Gold Circle of Quality,
LaSalle Il Lang Acad Elem School,1148 N Honore St,Chicago,60622-3799,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Camras Elem School,3000 N Mango Ave,Chicago,60634-5216,Preschool for All/Prevention Initiative,Gold Circle of Quality,
West Ridge Elem School,6700 N Whipple St,Chicago,60645-4123,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Rudolph Elem Learning Center,110 N Paulina St,Chicago,60612-2600,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Beard Elementary School,6445 W Strong St,Chicago,60656-4011,Preschool for All/Prevention Initiative,Gold Circle of Quality,
