ECMKey|Site_Name|LocAddress|LocCity|LocState|LocZip|Phone_Number|URL|Ages_Served|Ages_Zero_Three_Y_N|Ages_Three_Five_Y_N|Part_Day_Y_N|Full_Day_Y_N|Full_Year_Y_N|School_Year_Y_N|Operating_Hours|School_Based_Y_N|Community_Based_Y_N|Head_Start_Y_N|Accepts_CCAP_Y_N|Home_Visiting_Y_N|Languages_other_than_English|Other_Features|Accreditation|Location|Agency_Associated_With|Modified_on|Quality_Rating|Availability_Level
188|Howard Area Community Center|7510 N Ashland Ave|Chicago|IL|60626|773-764-7610 |www.howardarea.org|6 weeks to 5 years|1|1|0|1|1|0|7:30am-5:30pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Howard Area Community Center|16 Sep 2016 13:41:00:000|Gold|Low
189|Imani Children's Academy|11443 S Halsted St|Chicago|IL|60628|773-660-9667|n/a|15 months to 5 years|1|1|1|1|1|1|6:00am-6:00pm|0|1|1|1|0|;;|_|NAEYC|_|El Valor|16 Sep 2016 13:41:00:000|Gold|Low
190|Albany Child Care|5954 S Albany Ave|Chicago|IL|60629|773-737-7810|http://improvedchildcaremanagement.com|15 months to 5 years|1|1|0|1|1|0|6:00am-6:00pm|0|1|0|1|0|Chinese (Traditional);;Spanish|_|NAEYC|_|Improve Child Care Management Services|16 Sep 2016 13:41:00:000|Gold|Low
191|It Takes a Village Child Care Services|4000 W Division St|Chicago|IL|60651|773-276-1730|www.thevillagellc.com|3 years to 5 years|0|1|0|1|1|0|6:00am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|It Takes a Village Child Care Services|16 Sep 2016 13:41:00:000|Silver|High
192|Kiddy Kare Learning Centers - Kiddy Kare|4401 S Kedzie Ave|Chicago|IL|60632|773-247-6642|www.kiddykaredaycare.com|13 months to 12 years|1|1|1|1|1|0|6:00am-6:00pm|0|1|0|1|1|Spanish;;|_|"Awards of Excellence, NAEYC"|_|El Valor|18 Sep 2016 21:22:31:000|Licensed|Low
193|Kiddy Kare Learning Centers - Kidz Colony|6287 S Archer Ave|Chicago|IL|60638|773-767-8522|www.kiddykaredaycare.com|13 months to 12 years|1|1|0|1|1|0|6:00am-6:00pm|0|1|0|1|0|Spanish;;|_|"Awards of Excellence, NAEYC"|_|El Valor|16 Sep 2016 13:41:00:000|Gold|High
194|Kiddy Kare Learning Centers - Little Learners|6255 S Mayfield Ave|Chicago|IL|60638|773-581-5541|www.kiddykaredaycare.com|13 months to 10 years|1|1|1|1|1|1|6:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|El Valor|16 Sep 2016 13:41:00:000|Gold|Low
195|Kiddy Kare Learning Centers - Little Tykes I|1711 W 35th St|Chicago|IL|60609|773-254-7710|www.kiddykaredaycare.com|2 years to 12 years|1|1|1|1|1|1|6:00am-6:00pm|0|1|0|1|0|Spanish;;|_|Awards of Excellence|_|El Valor|16 Sep 2016 13:41:00:000|Silver|High
196|Korean American Community Services|4300 N California Ave|Chicago|IL|60618|773-583-8281|www.kacschicago.org/earlychildhoodcenter|2 years to 12 years|1|1|0|1|1|0|7:00am-5:30pm|0|1|0|1|0|Korean;Spanish;Philipino (Tagalog)|_|"Awards of Excellence, NAEYC"|_|Korean American Community Services|16 Sep 2016 13:41:00:000|Gold|Medium
197|Lake Shore Schools - Greenview|6769 N Greenview Ave|Chicago|IL|60626|773-743-1118|www.lakeshoreschoolschicago.com|3 years to 14 years|0|1|0|1|1|1|6:45am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|Onward Neighborhood House|16 Sep 2016 13:41:00:000|Licensed|High
199|Lee's Cuddles N Care|6100 W North Ave|Chicago|IL|60639|773-745-8054|http://lcncdaycare.com|6 weeks to 6 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Lee Cuddles N Care|16 Sep 2016 13:41:00:000|Licensed|Medium
200|Little Achievers Learning Center|3801 W Diversey Ave|Chicago|IL|60647|773-276-1600|www.littleachievers.info/|6 weeks to 6 years|1|1|0|1|1|1|6:00am-6:00pm|0|1|0|1|0|Arabic;;Spanish|_|_|_|Little Achievers Learning Center|16 Sep 2016 13:41:00:000|Licensed|Medium
201|Little Angels Family Day Care|6701 S Emerald Ave|Chicago|IL|60621|773-488-8777|n/a|6 weeks to 6 years|1|1|1|1|1|1|7:00am-4:00pm|0|1|0|0|1|;;|_|Awards of Excellence|_|Little Angels Family Day|16 Sep 2016 13:41:00:000|Silver|Low
202|Little Folks Daycare|2527 E 73rd St|Chicago|IL|60649|773-221-0300|n/a|2 years to 6 years|1|1|1|1|1|1|6:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Ada S McKinley Community Services|16 Sep 2016 13:41:00:000|Silver|Low
203|Little Hands Child Creative Center|7146 S Ashland Ave|Chicago|IL|60636|773-471-0662|_|2 years to 5 years|1|1|1|1|1|1|6:00am-6:00pm|0|1|0|1|1|;;|_|_|_|Ada S McKinley Community Services|16 Sep 2016 13:41:00:000|Silver|High
204|Little Kids Village Learning II|2656 W 71st St|Chicago|IL|60629|773-776-4753|www.littlekidsvillage.com|6 weeks to 6 years|1|1|1|1|1|0|6:00am-6:00pm|0|1|0|1|0|Spanish;;|_|QRS|_|Mary Crane Center|19 Sep 2016 06:34:41:000|Silver|Medium
205|Loop Learning Center|2001 S Michigan Ave, #450|Chicago|IL|60616|312-225-8828|www.looplearningcenter.com|6 weeks to 12 years|1|1|0|1|1|0|6:30am-6:00pm|0|1|0|1|0|;;|_|NAEYC|_|Henry Booth House|07 Oct 2016 12:09:57:000|Gold|Low
206|Rogers Park Children's Center|1754 W Devon Ave|Chicago|IL|60660|773-262-3366|http://lssi.org|3 years to 5 years|0|1|1|1|1|1|7:30am-5:30pm|0|1|0|1|0|Arabic;Spanish;Farsi|_|NAEYC|_|Lutheran Social Services|16 Sep 2016 13:41:00:000|Gold|Medium
207|Winthrop Children's Center|4848 N Winthrop Ave|Chicago|IL|60640|773-878-3210|http://lssi.org|2 years to 5 years|1|1|1|1|1|1|7:00am-5:30pm|0|1|0|1|0|;;|_|NAEYC|_|Lutheran Social Services|16 Sep 2016 13:41:00:000|Gold|High
208|Mae's Early Child Development & Therapeutic Daycare|1431 W 111th St|Chicago|IL|60643|773-429-9251|www.maesdaycare.org|3 years to 5 years|0|1|1|1|1|1|7:00am-5:30pm|0|1|0|1|0|;;|_|_|_|Henry Booth House|16 Sep 2016 13:41:00:000|Licensed|Medium
209|Marillac St. Vincent Family Services - Marillac Social Center|212 S Francisco Ave|Chicago|IL|60612|773-722-7440|www.marillacstvincent.org|15 months to 13 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|1|Spanish;;|_|NAEYC|_|Marillac St Vincent Family Service|16 Sep 2016 13:41:00:000|Gold|High
210|Marillac St. Vincent Family Services - St. Vincent Depaul Center|2145 North Halsted St|Chicago|IL|60614|312-943-6776|www.marillacstvincent.org|3 months to 13 years|0|1|1|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Marillac St Vincent Family Service|07 Oct 2016 12:16:33:000|Gold|Low
211|Mary Crane Center - Lake and Pulaski|316 N Pulaski Rd|Chicago|IL|60624|773-265-5954|www.marycrane.org|15 months to 5 years|1|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Mary Crane Center|16 Sep 2016 13:41:00:000|Licensed|High
212|Mary Crane Center - Lathrop|2905 N Leavitt Ave|Chicago|IL|60618|773-938-8130|www.marycrane.org|6 weeks to 5 years|1|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Mary Crane Center|19 Sep 2016 06:35:17:000|Licensed|High
213|Mary Crane Center - Molade Center|1120 N Lamon Ave|Chicago|IL|60651|773-287-7365|www.marycrane.org|2 years to 5 years|1|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|;;|_|NAEYC|_|Mary Crane Center|16 Sep 2016 13:41:00:000|Licensed|Medium
214|Mary Crane Center - Morse|1545 W Morse Ave|Chicago|IL|60626|773-262-1390|www.marycrane.org|2 years to 5 years|1|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|1|Spanish;;|_|NAEYC|_|Mary Crane Center|16 Sep 2016 13:41:00:000|Gold|High
215|McCann's DayCare Center|8612 S Stony Island Ave|Chicago|IL|60617|773-375-7932|n/a|2 years to 6 grade|1|1|0|1|1|1|6:30am-6:00pm|0|1|0|1|0|;;|_|_|_|McCanns Daycare Center|16 Sep 2016 13:41:00:000|Silver|Low
216|Metropolitan Family Services - Learning and Wellness Center|5338 S Loomis Blvd|Chicago|IL|60609|773-535-0101|www.metrofamily.org|6 weeks to 5 years|1|1|0|1|1|1|7:00am-6:00pm |0|1|0|1|1|Spanish;;|_|_|_|Metropolitan Family Services |16 Sep 2016 13:41:00:000|Licensed|Medium
217|Metropolitan Family Services - Midway Children's Center|3215 W 63rd St|Chicago|IL|60629|773.884.2350|www.metrofamily.org|2 years to 5 years|1|1|0|1|1|0|7:00am-6:00pm |0|1|0|1|0|Spanish;;|_|NAEYC|_|Metropolitan Family Services |16 Sep 2016 13:41:00:000|Gold|Low
218|Metropolitan Family Services - Midway Headstart Center|6422 S Kedzie Ave|Chicago|IL|60629|773-884-2400|www.metrofamily.org|3 years to 5 years|0|1|1|1|1|1|7:00am-6:00pm |0|1|0|1|0|Spanish;;|_|"COA, NAEYC"|_|Metropolitan Family Services |29 Sep 2016 08:12:14:000|Gold|High
219|Metropolitan Family Services - North Children's Center|3255 N Central Ave|Chicago|IL|60634|773-371-3782|www.metrofamily.org|2 years to 5 years|1|1|0|1|1|0|7:00am-6:00pm |0|1|0|1|1|Spanish;;|_|NAEYC|_|Metropolitan Family Services |16 Sep 2016 13:41:00:000|Gold|Low
220|Montessori Foundations of Chicago|3575 S Archer Ave|Chicago|IL|60609|773-254-5437|www.montessorifoundations.com|6 weeks to 6 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|Chinese (Traditional);Philipino (Tagalog);Chinese (Traditional)|_|_|_|Montessori Foundation of Chicago|16 Sep 2016 13:41:00:000|Licensed|High
221|Montessori School of Englewood|6550 S Seeley Ave|Chicago|IL|60636|773-535-9255|www.tmsoe.org|3 years to 6 grade|0|1|1|1|0|1|8:00am-3:15pm|0|1|0|1|0|Spanish;;|_|_|_|Montessori School of Englewood|16 Sep 2016 13:41:00:000|Licensed|High
222|Mosaic Early Childhood Academy|5332 W Addison St|Chicago|IL|60641|773-777-7411|www.mosaicearlychildhoodcenter.com|15 months to 12 years|1|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|Hindi;;Spanish|_|NAEYC|_|Mosaic Early Childhood Academy|16 Sep 2016 13:41:00:000|Licensed|High
223|Mother's Touch Day Care|2501 W 71st St|Chicago|IL|60628|773-436-3177|www.motherstouchdaycarecenter.com|6 weeks to 5 years|1|1|1|1|1|1|6:30am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|Easter Seals Society of Metropolitan Chicago|16 Sep 2016 13:41:00:000|Licensed|Medium
224|New Pisgah Day Care|8130 S Racine Ave|Chicago|IL|60620|773-873-5392|www.newpisgahcso.org|6 weeks to 5 years|1|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|;;|_|Awards of Excellence|_|New Pisgah Day Care|16 Sep 2016 13:41:00:000|Licensed|Low
225|The Learning Tree Preschool - GIA|8233 S Pulaski Rd|Chicago|IL|60652|773-884-3345|n/a|0 years to 5 years|1|1|1|1|1|0|6:30am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|The Learning Tree Preschool|16 Sep 2016 13:41:00:000|Silver|Low
226|The Learning Tree Preschool - NIA|8128 S Kedzie Ave|Chicago|IL|60652|773-778-8802|n/a|0 years to 5 years|1|1|1|1|1|0|6:30am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|The Learning Tree Preschool|16 Sep 2016 13:41:00:000|Licensed|Low
227|North Avenue Day Nursery|2001 W Pierce Ave|Chicago|IL|60622|773-342-4499|www.nadnkids.org|2 years to 12 years|1|1|0|1|1|1|7:00am-5:45pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|North Avenue Day Nursery |16 Sep 2016 13:41:00:000|Gold|High
229|Northwestern University Settlement House|1400 W Augusta Blvd|Chicago|IL|60642|773.278.7471|www.nothwesternsettlement.org|2 years to 5 years|1|1|0|1|0|1|8:00am-5:30pm|0|1|0|1|0|Spanish;;Hindi|_|"Awards of Excellence, NAEYC"|_|Nothwestern University Settlement House|16 Sep 2016 13:41:00:000|Gold|High
230|One Hope United - Bridgeport Child Development Center|3053 S Normal Ave|Chicago|IL|60616|312-842-5566|www.onehopeunited.org|2 years to 12 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|Chinese (Simplified);Spanish;Chinese (Traditional)|_|"Awards of Excellence, COA, NAEYC"|_|One Hope United|16 Sep 2016 13:41:00:000|Gold|Low
231|One Hope United - Bridgeport Child Development Center II|514 W 31st St|Chicago|IL|60616|312-949-4015|www.onehopeunited.org/bridgeport-child-development-center-2/|2 years to 12 years|1|1|0|1|1|0|7:30am-6:00pm|0|1|0|1|0|Chinese (Simplified);Spanish;Chinese (Traditional)|_|NAEYC|_|One Hope United|16 Sep 2016 13:41:00:000|Gold|Low
232|One Hope United - Edgewater Early Learning Center|5244 N Lakewood Ave|Chicago|IL|60640|773-907-0278|www.onehopeunited.org/child-care/#edgewater|2 years to 12 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|Greek;Thai;Spanish|_|"Awards of Excellence, NAEYC"|_|One Hope United|16 Sep 2016 13:41:00:000|Gold|Low
233|Onward Neighborhood House - Belmont Cragin|5423 W Diversey St|Chicago|IL|60639|773-622-3215|www.onwardhouse.org|2 years to 12 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|1|Spanish;Korean;Ukrainian|_|"Awards of Excellence, NAEYC"|_|Onward Neighborhood House|16 Sep 2016 13:41:00:000|Gold|High
234|Ounce of Prevention - Educare|5044 S Wabash Ave|Chicago|IL|60615|773-924-2334|www.ounceofprevention.org|6 weeks to 5 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Ounce of Prevention |16 Sep 2016 13:41:00:000|Gold|Low
235|Passages Charter School|1643 W Bryn Mawr Ave|Chicago|IL|60660|773-433-3530|www.passagescharterschool.com|4 years to 4 years|0|1|0|1|0|1|7:00am-3:45pm (afterschool program available until 5:30pm)|0|1|0|1|0|Albanian;Bosnian;Arabic|_|_|_|Asian Human Services|16 Sep 2016 13:41:00:000|Licensed|Low
236|Pathways to Learning Child Care Centers - Ashburn|3450 W 79th St|Chicago|IL|60652|773-436-9244|www.pathwaystolearning.com|15 months to 5 years|1|1|0|1|1|1|6:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|Pathways to Learning Child Care Centers|19 Sep 2016 06:36:32:000|Licensed|High
237|Pathways To Learning Child Care Centers - Kedzie|6535 S Kedzie Ave|Chicago|IL|60629|773-778-0017|n/a|6 weeks to 5 years|1|1|1|1|1|1|6:00am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|Pathways to Learning Child Care Centers|16 Sep 2016 13:41:00:000|Licensed|Low
238|Rachel's Learning Center - Austin|5242 W North Ave|Chicago|IL|60639|773-237-1444|n/a|6 weeks to 6 years|1|1|0|0|0|0|6:00am-7:00pm|0|1|0|1|0|Spanish;;|_|_|_|Rachels Learning Center|16 Sep 2016 13:41:00:000|Licensed|High
239|Rachel's Learning Center - North Lawndale|3430 W Roosevelt Rd|Chicago|IL|60624|773-533-0444|n/a|6 weeks to 6 years|1|1|0|0|0|0|6:00am-7:00pm|0|1|0|1|0|Spanish;;|_|_|_|Rachels Learning Center|16 Sep 2016 13:41:00:000|Licensed|High
240|Salvation Army - Red Shield|945 W 69th St|Chicago|IL|60621|773-358-3224|n/a|6 weeks to 5 years|1|1|0|1|0|1|7:00am-5:30pm|0|1|0|0|0|Spanish;;|_|_|_|Salvation Army|16 Sep 2016 13:41:00:000|Licensed|High
241|South East Asia - International Bridge School|5120 N Broadway|Chicago|IL|60640|773-989-7433|www.se-asiacenter.org|3 years to 5 years|0|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|Amharic;Chinese (Simplified);Arabic|_|NAEYC|_|South East Asia Center|21 Sep 2016 07:40:24:000|Gold|Low
242|Stepping Stones Early Childhood Learning Center|1300 E 75th St|Chicago|IL|60619|773.493.0000|www.sseclc-chicago.com|15 months to 5 years|1|1|0|1|1|1|6:30am-6:30pm|0|1|0|1|1|;;|_|NAEYC|_|Ada S McKinley Community Services|07 Oct 2016 12:24:43:000|Gold|Medium
243|Teddy Bear 1|2649 W 51st St|Chicago|IL|60632|773-476-0700|www.teddybeardaycare.com|6 weeks to 12 years|1|1|1|1|1|1|6:30am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|El Valor|19 Sep 2016 06:37:31:000|Silver|Medium
244|Teddy Bear 2|3473 W Columbus Ave|Chicago|IL|60652|773-434-2327|www.teddybeardaycare.com|6 weeks to 12 years|1|1|1|1|1|1|6:30am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|El Valor|19 Sep 2016 06:37:46:000|Silver|High
245|Teddy Bear 3|6401 S Pulaski Rd|Chicago|IL|60629|773-284-2292|www.teddybeardaycare.com|3 years to 5 years|0|1|1|1|1|1|6:30am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|El Valor|19 Sep 2016 06:38:06:000|Silver|High
246|Teddy Bear 5|5160 S Pulaski Rd|Chicago|IL|60632|773-284-7030|www.teddybeardaycare.com|6 weeks to 12 years|1|1|1|1|1|1|6:30am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|El Valor|19 Sep 2016 06:38:21:000|Silver|Medium
247|Dr Jeremiah A Wright Jr Early Care & Learning Center|532 W 95th St|Chicago|IL|60628|773-9661503|www.tuccchildcarecenter.com|6 weeks to 12 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Trinity United Church of Christ|19 Sep 2016 06:39:13:000|Licensed|Low
248|Dr Denton J Brooks Head Start Program|6921 S Stony Island Ave|Chicago|IL|60617|773-966-1596|www.tuccchildcarecenter.com|2 years to 5 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Trinity United Church of Christ|19 Sep 2016 06:39:48:000|Licensed|Medium
250|Wee Care Nursery School & Kindergarten|1845 E 79th St|Chicago|IL|60649|773-221-4442|n/a|2 years to 6 years|1|1|1|1|1|1|6:00am-6:00pm|0|1|0|1|0|;;|_|NAEYC|_|Easter Seals Society of Metropolitan Chicago|16 Sep 2016 13:41:00:000|Gold|High
251|West Austin Development Center|4920 W Madison St|Chicago|IL|60644|773-261-2223|www.thepremierchildcare.com|6 weeks to 12 years|1|1|0|1|1|1|8:30am-3:30pm|0|1|0|1|1|;;|_|NAEYC|_|Henry Booth House|16 Sep 2016 13:41:00:000|Licensed|Low
252|Whiz Kids Nursery Center|518 W 103 St|Chicago|IL|60628|773-233-9445|n/a|6 weeks to 6 years|1|1|1|1|1|1|6:00am-6:00pm|0|1|0|1|1|;;|_|"Awards of Excellence, NAEYC"|_|Easter Seals Society of Metropolitan Chicago|16 Sep 2016 13:41:00:000|Licensed|Medium
253|YMCA - Effie O Ellis|10 S Kedzie Ave|Chicago|IL|60612|773-533-9011|www.ymcachicago.org/programs/child-care-education|3 years to 5 years|0|1|0|1|1|0|7:30am-5:30pm|0|1|0|1|1|Spanish;;|_|"Awards of Excellence, NAEYC"|_|YMCA|19 Sep 2016 06:40:16:000|Gold|Low
254|YMCA - Garfield|7 N Homan Ave|Chicago|IL|60624|773-265-3900|www.ymcachicago.org/programs/child-care-education|2 years to 5 years|1|1|0|1|1|1|7:30am-5:30pm|0|1|0|1|0|;;|_|"Awards of Excellence, NAEYC"|_|YMCA|16 Sep 2016 13:41:00:000|Gold|Low
255|YMCA - High Ridge|2424 W Touhy Ave|Chicago|IL|60645|773-262-8300|www.ymcachicago.org/programs/child-care-education|3 years to 5 years|0|1|0|1|1|0|7:30am-6:00am|0|1|0|1|0|Spanish;;|_|"Awards of Excellence, NAEYC"|_|YMCA|16 Sep 2016 13:41:00:000|Gold|Low
256|YMCA - Jeanne Kenney|7600 S Parnell Ave|Chicago|IL|60620|773-904-0195|www.ymcachicago.org/programs/child-care-education|6 weeks to 5 years|1|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|"Awards of Excellence, NAEYC"|_|YMCA|16 Sep 2016 13:41:00:000|Gold|Low
257|YMCA - McCormick Tribune|1834 N Lawndale Ave|Chicago|IL|60647|773-235-2525|www.ymcachicago.org/programs/child-care-education|2 years to 12 years|1|1|0|1|1|0|7:00am-6:00pm |0|1|0|1|0|Spanish;;|_|"Awards of Excellence, NAEYC"|_|YMCA|16 Sep 2016 13:41:00:000|Gold|High
258|YMCA - North Lawndale|3449 W Arthington St|Chicago|IL|60624|773-638-0773|www.ymcachicago.org/programs/child-care-education|6 weeks to 12 years|1|1|0|1|1|0|7:00am-6:00pm |0|1|0|1|0|Spanish;;|_|"Awards of Excellence, NAEYC"|_|YMCA|16 Sep 2016 13:41:00:000|Gold|Low
259|YMCA - Rauner|2700 S Western Ave|Chicago|IL|60608|773-847-3115|www.ymcachicago.org/programs/child-care-education|2 years to 12 years|1|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|Spanish;;|_|"Awards of Excellence, NAEYC"|_|YMCA|16 Sep 2016 13:41:00:000|Gold|High
260|YMCA - South Chicago|3039 E 91st St|Chicago|IL|60617|773-721-9100|www.ymcachicago.org/programs/child-care-education|3 years to 12 years|0|1|0|1|1|0|7:00am-6:00pm|0|1|0|1|1|Spanish;;|_|"Awards of Excellence, NAEYC"|_|YMCA|16 Sep 2016 13:41:00:000|Gold|High
261|YMCA - South Side|6330 S Stony Island Ave|Chicago|IL|60637|773-947-0700|www.ymcachicago.org/programs/child-care-education|2 years to 5 years|1|1|0|1|1|1|7:00am-6:00pm|0|1|0|1|0|;;|_|"Awards of Excellence, NAEYC"|_|YMCA|16 Sep 2016 13:41:00:000|Gold|Low
262|Young Achievers Academy|520 E 79th St|Chicago|IL|60619|773-846-9707|n/a|3 years to 6 years|0|1|1|1|1|0|6:30am-7:00pm|0|1|0|1|0|;;|_|Awards of Excellence|_|Henry Booth House|16 Sep 2016 13:41:00:000|Licensed|Low
263|Young Scholars Developmental Institute|3038 W 59th St|Chicago|IL|60629|773-918-1944|www.youngscholarsdev-inst.net|6 weeks to 12 years|1|1|1|1|1|1|6:00am-6:00pm|0|1|0|1|0|Spanish;;|_|NAEYC|_|El Valor|16 Sep 2016 13:41:00:000|Gold|Low
265|J & L Family Learning Day Care|11640 S Wentworth Ave|Chicago|IL|60628|773-821-1808|n/a|6 weeks to 12 years|1|1|0|1|1|1|6:00am-8:00pm|0|1|0|0|0|;;|_|_|_|Ada S McKinley Community Services|16 Sep 2016 13:41:00:000|Licensed|High
266|Little Genius|11439 S Michigan Ave|Chicago|IL|60628|773-629-8091|http://www.adasmckinley.org|2 years to 8 years|1|1|0|0|0|0|6:00am-8:00pm|0|1|0|1|0|;;|_|_|_|Ada S McKinley Community Services|18 Oct 2016 12:00:40:000|Silver|Medium
267|Love N Learn Academy|723 E 75th St|Chicago|IL|60619|773-723-0338|http://www.henryboothhouse.org|6 weeks to 5 years|1|1|0|0|0|1|6:00am-6:00pm|0|1|0|1|0|_|_|_|_|Ada S McKinley Community Services|08 Oct 2016 11:14:46:000|Licensed|Medium
268|Precious Little Ones - 51st|221 E 51st St|Chicago|IL|60615|773-285-9902|n/a|6 weeks to 5 years|1|1|0|1|1|1|6:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Ada S McKinley Community Services|16 Sep 2016 13:41:00:000|Licensed|Medium
269|Precious Little Ones - 63rd|22 E 63rd St|Chicago|IL|60637|773-891-5055|n/a|6 weeks to 5 years|1|1|0|1|1|1|6:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Ada S McKinley Community Services|16 Sep 2016 13:41:00:000|Licensed|High
270|Project Org + Design Studio|1401 S 79th St|Chicago|IL|60619|773-221-7171|www.projectorg.com|15 months to 5 years|1|1|0|0|0|1|7:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Ada S McKinley Community Services|16 Sep 2016 13:41:00:000|Licensed|High
271|Albany Park Kimball Head Start|5101 N Kimball Ave|Chicago|IL|60625|773-509-5657|www.apccchgo.org|3 years to 5 years|0|1|1|1|1|1|7:30am-5:30pm|0|1|0|1|0|Gujarati;Hindi;Gujarati|_|NAEYC|_|Albany Park Community Center|19 Sep 2016 06:40:50:000|Gold|High
273|Betty's Daycare Academy|5725 W Chicago Ave|Chicago|IL|60651|773-261-1433|www.chicagocommons.org|6 weeks to 12 years|1|1|0|1|1|1|6:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Licensed|High
274|Diversey Day Care|3155 W Diversey|Chicago|IL|60647|773-342-7777|www.chicagocommons.org|6 weeks to 12 years|1|1|0|0|1|0|6:00am-5:30pm|0|1|0|1|0|Spanish;;|_|_|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Silver|Medium
275|JPE Daycare Center|8625 S Cottage Grove Ave|Chicago|IL|60619|773-994-1300|www.academyofjpe.org|_|0|0|0|1|1|1|7:00am-6:00pm|0|1|0|0|0|Spanish;;|_|_|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Licensed|High
276|Kiddie Garden Little Angels|4235 S Kedzie Ave|Chicago|IL|60632|773-843-1976|www.chicagocommons.org|6 weeks to 12 years|1|1|0|1|1|0|6:00am-6:00pm|0|1|0|1|0|Spanish;;|_|_|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Licensed|Medium
277|Kimball Day Care|1636 N Kimball |Chicago|IL|60647|(   )|www.chicagocommons.org|6 weeks to 12 years|1|1|0|0|0|0|6:00am-5:30pm|0|1|0|1|0|Spanish;;|_|_|_|Chicago Commons Association|03 Oct 2016 10:52:23:000|Silver|High
278|Little People's Day Care|7428 N Rogers Ave|Chicago|IL|60626|773-761-2305|www.chicagocommons.org|2 years to 13 years|1|1|1|1|1|1|7:00am-6:00pm|0|1|0|1|0|;;|_|_|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Silver|Medium
279|Los Pequenos Angelitos|3711 W 55th St|Chicago|IL|60629|773-735-5827|www.chicagocommons.org|6 weeks to 12 years|1|1|1|1|1|1|6:00am-6:00pm|0|0|0|1|0|Spanish;;|_|Awards of Excellence|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Licensed|High
280|North Star Child Development|4341 W North Ave|Chicago|IL|60639|773-2529200|www.chicagocommons.org|6 weeks to 12 years|1|1|0|0|0|0|6:00am-5:30pm|0|1|0|1|0|Spanish;;Assyrian|_|Awards of Excellence|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Silver|Medium
281|Rainbow Daycare|3250 W Irving Park Rd|Chicago|IL|60618|773-478-8182|www.chicagocommons.org|6 weeks to 6 years|1|1|0|1|1|1|6:30am-6:00pm|0|1|0|1|0|Spanish;;Thai|_|_|_|Chicago Commons Association|16 Sep 2016 13:41:00:000|Silver|Medium
282|Smart From The Start - Armitage|4135 W Armitage Ave|Chicago|IL|60639|773-697-7057|www.smartfromthestart.net|6 weeks to 12 years|1|1|0|1|1|1|6:00am-6:00pm|0|1|0|0|0|Spanish;;|_|_|_|Chicago Commons Association|19 Sep 2016 06:41:28:000|Licensed|High
